"cargo","ciudad","link","empresa","fpublicacion"
"Region Metropolitana. Supervisor de Ventas con experiencia en manejo de equipos en terreno","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/region-metropolitana.-supervisor-de-ventas-con-experiencia-en-manejo-de-equipos-en-terreno-ecr-group-1002585735.html","ECR group","04 de agosto de 2015"
"Analista Remuneraciones, Las Condes","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/analista-remuneraciones-las-condes-adecco-recursos-humanos-1002586249.html","Adecco Recursos Humanos","13 de agosto de 2015"
"Urgente!! Promotores Part Time Marca Electrónica $ 20.000 Diarios .","Providencia, Región Metropolitana","http://www.bumeran.cl/empleos/urgente!!-promotores-part-time-marca-electronica-$-20.000-diarios-.-alcansa-s.a.-1002586891.html","Alcansa S.A.","26 de agosto de 2015"
"Analista Control de Recaudación.","Conchalí, Región Metropolitana","http://www.bumeran.cl/empleos/analista-control-de-recaudacion.-adecco-recursos-humanos-1002586057.html","Adecco Recursos Humanos","12 de agosto de 2015"
"ANALISTA CONTABLE","Providencia, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-adecco-recursos-humanos-1002585201.html","Adecco Recursos Humanos","13 de agosto de 2015"
"Analista contable uso SAP R3","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-uso-sap-r3-adecco-recursos-humanos-1002583074.html","Adecco Recursos Humanos","17 de agosto de 2015"
"Analista Contable Semi Senior","Providencia, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-semi-senior-adecco-recursos-humanos-1002585173.html","Adecco Recursos Humanos","13 de agosto de 2015"
"Analista Control de Gestión","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/analista-control-de-gestion-1002587060.html","","31 de agosto de 2015"
"Administrativo de facturación e importaciones","Conchalí, Región Metropolitana","http://www.bumeran.cl/empleos/administrativo-de-facturacion-e-importaciones-adecco-recursos-humanos-1002585953.html","Adecco Recursos Humanos","07 de agosto de 2015"
"Vendedoras para  tiendas Vestuario,  Malls Santiago.","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/vendedoras-para-tiendas-vestuario-malls-santiago.-master-asesorias-1002586587.html","Master Asesorias","21 de agosto de 2015"
"Ejecutivo de ventas Call Center","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/ejecutivo-de-ventas-call-center-optus-chile-sa-1002586978.html","OPTUS CHILE SA","27 de agosto de 2015"
"Ejecutivo de ventas Call Center","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/ejecutivo-de-ventas-call-center-optus-chile-sa-1002587001.html","OPTUS CHILE SA","28 de agosto de 2015"
"Campaña ventas turnos AM","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/campana-ventas-turnos-am-optus-chile-sa-1002587042.html","OPTUS CHILE SA","29 de agosto de 2015"
"Marca de Electrónica y Cuidado Personal necesita promotores $12.000+ comisión Stgo Centro","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/marca-de-electronica-y-cuidado-personal-necesita-promotores-$12.000-comision-stgo-centro-ecr-group-1002586091.html","ECR group","11 de agosto de 2015"
"Asistente de Cobranza para Factoring","Ñuñoa, Región Metropolitana","http://www.bumeran.cl/empleos/asistente-de-cobranza-para-factoring-1001204077.html","","31 de agosto de 2015"
"Promotor Part- Time ( Antofagasta )","Macul, Región Metropolitana","http://www.bumeran.cl/empleos/promotor-part-time-antofagasta-alcansa-s.a.-1002586821.html","Alcansa S.A.","25 de agosto de 2015"
"Secretaria de RR.HH","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/secretaria-de-rr.hh-1002586667.html","","21 de agosto de 2015"
"Secretaria Recepción RR.HH.","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/secretaria-recepcion-rr.hh.-1002585073.html","","18 de agosto de 2015"
"EJECUTIVOS VENTA TERRENO PARA PYMES - SANTIAGO","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/ejecutivos-venta-terreno-para-pymes-santiago-ecr-group-1001635310.html","ECR group","14 de agosto de 2015"
"Asistente de Cobranza","Ñuñoa, Región Metropolitana","http://www.bumeran.cl/empleos/asistente-de-cobranza-1002585461.html","","31 de agosto de 2015"
"Promotor Part-Time ( Los Angeles )","Providencia, Región Metropolitana","http://www.bumeran.cl/empleos/promotor-part-time-los-angeles-alcansa-s.a.-1002586827.html","Alcansa S.A.","25 de agosto de 2015"
"Supervisor Grandes Tiendas para Telecomunicaciones/Copiapo","Copiapó, Región III","http://www.bumeran.cl/empleos/supervisor-grandes-tiendas-para-telecomunicaciones-copiapo-ecr-group-1002586522.html","ECR group","25 de agosto de 2015"
