"cargo","ciudad","link","empresa","fpublicacion"
"Contador General Corporativo","Maipú","http://www.trabajando.cl/empleos/ofertas/2669949/Contador_General_Corporativo.html","Importante holding","31-08-2015"
"Maquinista de Inyección","Maipú","http://www.trabajando.cl/empleos/ofertas/2647386/Maquinista_de_Inyeccion.html","Importante empresa Industrial","31-08-2015"
"Sub. Gerente de Contabilidad","Maipú","http://www.trabajando.cl/empleos/ofertas/2658582/Sub_Gerente_de_Contabilidad.html","Importante empresa Industrial","31-08-2015"
"Mecánico de Planta Colina","Colina","http://www.trabajando.cl/empleos/ofertas/2691764/Mecanico_de_Planta_Colina.html","Mecánico Colina","31-08-2015"
"Químico Farmacéutico","San Bernardo","http://www.trabajando.cl/empleos/ofertas/2640711/Quimico_Farmaceutico.html","Empresa Consultora","31-08-2015"
"Outside Sales Export","Las Condes","http://www.trabajando.cl/empleos/ofertas/2693634/Outside_Sales_Export.html","Page Personnel","31-08-2015"
"Maquinista de Extrusión","Planta Industrial","http://www.trabajando.cl/empleos/ofertas/2647332/Maquinista_de_Extrusion.html","Importante empresa Industrial","31-08-2015"
"Maquinista de Extrusión e Inyección","Independencia","http://www.trabajando.cl/empleos/ofertas/2662683/Maquinista_de_Extrusion_e_Inyeccion.html","Plastics World","31-08-2015"
"Electromecánico Técnico Superior Colina","Colina","http://www.trabajando.cl/empleos/ofertas/2691703/Electromecanico_Tecnico_Superior_Colina.html","Electromecánico Técnico Superior","31-08-2015"
"Asistente de Compras","Las condes","http://www.trabajando.cl/empleos/ofertas/2669942/Asistente_de_Compras.html","Importante Autopista","31-08-2015"
"Analista Desarrollo Organizacional.","Providencia","http://www.trabajando.cl/empleos/ofertas/2655649/Analista_Desarrollo_Organizacional.html","Institución Publica","31-08-2015"
"Analista Senior en Desarrollo Organizacional.","Providencia","http://www.trabajando.cl/empleos/ofertas/2690117/Analista_Senior_en_Desarrollo_Organizacional.html","Institución Publica","31-08-2015"
"Práctica Prevención de Riesgos","Talagante","http://www.trabajando.cl/empleos/ofertas/2693637/Practica_Prevencion_de_Riesgos.html","Ariztía","31-08-2015"
"Subjefe Quellón (retail)","Quellón","http://www.trabajando.cl/empleos/ofertas/2690438/Subjefe_Quellon_retail.html","Empresa de retail","31-08-2015"
"Técnico en Prevencion de Riesgos","Colina","http://www.trabajando.cl/empleos/ofertas/2687350/Tecnico_en_Prevencion_de_Riesgos.html","Importante Empresa Logística","31-08-2015"
"Cajera Murano Nike Mall Sport","Mall Sport, Las Condes","http://www.trabajando.cl/empleos/ofertas/2689913/Cajera_Murano_Nike_Mall_Sport.html","Murano Nike","31-08-2015"
"Jefe de Planta","Rancagua","http://www.trabajando.cl/empleos/ofertas/2669826/Jefe_de_Planta.html","Importante empresa Exportadora de Frutas requiere incorporar","28-08-2015"
"Jefe de Producción (Rancagua)","Rancagua","http://www.trabajando.cl/empleos/ofertas/2654175/Jefe_de_Produccion_Rancagua.html","Perceptual Consultores Ltda.","06-08-2015"
"Coordinador de Ruta Full Time La Florida","La Florida","http://www.trabajando.cl/empleos/ofertas/2686278/Coordinador_de_Ruta_Full_Time_La_Florida.html","Alsacia & Express","31-08-2015"
"Subgerente de Contabilidad","Santiago","http://www.trabajando.cl/empleos/ofertas/2669670/Subgerente_de_Contabilidad.html","Empresa Industrial","28-08-2015"
"DEPUTY ACCOUNTING MANAGER","Santiago, Metropolitan Region","http://www.trabajando.cl/empleos/ofertas/2644150/DEPUTY_ACCOUNTING_MANAGER.html","Michael Page","29-07-2015"
"Asistente de Compras","Huechuraba","http://www.trabajando.cl/empleos/ofertas/2684347/Asistente_de_Compras.html","Empresa de Rubro Retail","27-08-2015"
"ASISTENTE DE EXPORTACIONES - REMPLAZO PRE Y POST NATAL","Nos, San Bernardo","http://www.trabajando.cl/empleos/ofertas/2689775/ASISTENTE_DE_EXPORTACIONES_REMPLAZO_PRE_Y_POST_NATAL.html","CAROZZI REQUIERE","31-08-2015"
"Encargado de Linea de Producción","Quilicura","http://www.trabajando.cl/empleos/ofertas/2679927/Encargado_de_Linea_de_Produccion.html","Adecco Renca","26-08-2015"
